module,O,Os,O2,O3,Oz,total,examples
musl-cross-make,0,0,8865,0,0,8865,build/ppc64/log/musl-cross-make.log;build/ppc64/musl-cross-make-e5147dde912478dd32ad42a25003e82d4f5733aa/build/local/powerpc64le-linux-musl/obj_binutils/config.log;build/ppc64/musl-cross-make-e5147dde912478dd32ad42a25003e82d4f5733aa/build/local/powerpc64le-linux-musl/obj_binutils/gas/config.log
openssl,0,0,0,0,1481,1481,build/x86/log/openssl.log
libgcrypt,4,0,0,0,1079,1083,build/ppc64/libgcrypt-1.10.1/config.log;build/ppc64/log/libgcrypt.log;build/x86/libgcrypt-1.10.1/config.log
util-linux,0,0,10,0,845,855,build/ppc64/log/util-linux.log;build/ppc64/util-linux-2.39/config.log;build/x86/util-linux-2.39/config.log
bash,0,0,0,0,844,844,build/ppc64/log/bash.log;build/ppc64/bash-5.1.16/config.log;build/x86/log/bash.log
e2fsprogs,0,0,0,0,670,670,build/ppc64/log/e2fsprogs.log;build/ppc64/e2fsprogs-1.47.0/config.log;build/x86/e2fsprogs-1.47.0/config.log
gpg2,0,0,0,0,668,668,build/ppc64/log/gpg2.log;build/x86/log/gpg2.log
slang,0,0,0,0,524,524,build/ppc64/slang-2.3.3/config.log;build/ppc64/log/slang.log;build/x86/slang-2.3.3/config.log
gnupg,0,0,0,0,408,408,build/ppc64/gnupg-2.4.0/config.log;build/x86/gnupg-2.4.0/config.log
libgpg-error,0,0,0,0,392,392,build/ppc64/log/libgpg-error.log;build/ppc64/libgpg-error-1.46/config.log;build/x86/log/libgpg-error.log
dropbear,0,0,0,0,327,327,build/ppc64/dropbear-2025.88/config.log;build/ppc64/log/dropbear.log;build/x86/dropbear-2025.88/config.log
ncurses,0,0,0,0,296,296,build/ppc64/ncurses-6.5/config.log;build/x86/ncurses-6.5/config.log
libassuan,0,0,0,0,252,252,build/ppc64/libassuan-2.5.5/config.log;build/ppc64/log/libassuan.log;build/x86/libassuan-2.5.5/config.log
libksba,0,0,0,0,244,244,build/ppc64/log/libksba.log;build/ppc64/libksba-1.6.3/config.log;build/x86/log/libksba.log
zlib,0,0,0,0,230,230,build/ppc64/log/zlib.log;build/ppc64/zlib-1.2.11/configure.log;build/x86/log/zlib.log
cryptsetup,0,0,10,0,196,206,build/ppc64/cryptsetup-2.6.1/config.log;build/x86/cryptsetup-2.6.1/config.log
lvm2,0,0,0,0,202,202,build/ppc64/log/lvm2.log
kexec-tools,0,40,10,0,131,181,build/ppc64/log/kexec-tools.log;build/ppc64/kexec-tools-e18a71faae081d075c8d3ec559aa68a59295c739/config.log;build/x86/log/kexec-tools.log
cairo,0,0,4,0,167,171,build/x86/cairo-1.14.12/config.log;build/x86/log/cairo.log
popt,0,0,0,0,166,166,build/ppc64/log/popt.log;build/ppc64/popt-1.19/config.log;build/x86/log/popt.log
npth,0,0,0,0,140,140,build/ppc64/log/npth.log;build/ppc64/npth-1.6/config.log;build/x86/log/npth.log
libpng,0,0,0,0,130,130,build/x86/libpng-1.6.34/config.log;build/x86/log/libpng.log
libusb,0,0,8,0,102,110,build/ppc64/libusb-1.0.21/config.log;build/ppc64/log/libusb.log;build/x86/libusb-1.0.21/config.log
newt,0,0,0,0,108,108,build/ppc64/log/newt.log;build/ppc64/newt-0.52.24/config.log;build/x86/newt-0.52.24/config.log
kbd,0,0,17,0,87,104,build/x86/kbd-2.6.1/config.log
exfatprogs,0,0,0,0,91,91,build/ppc64/exfatprogs-1.2.1/config.log;build/ppc64/log/exfatprogs.log;build/x86/exfatprogs-1.2.1/config.log
coreboot-talos_2,2,2,85,0,0,89,build/ppc64/log/coreboot-talos_2.log;build/ppc64/coreboot-talos_2/UNTESTED_talos-2/util/sb-signing-utils/config.log;build/ppc64/coreboot-talos_2/UNTESTED_talos-2/util/ffs/config.log
pixman,0,0,0,0,86,86,build/x86/pixman-0.34.0/config.log
pinentry,0,0,2,0,78,80,build/ppc64/log/pinentry.log;build/ppc64/pinentry-1.1.0/config.log;build/x86/log/pinentry.log
powerpc-utils,0,0,0,0,71,71,build/ppc64/log/powerpc-utils.log;build/ppc64/powerpc-utils-1.3.5/config.log
qrencode,0,0,0,0,66,66,build/ppc64/qrencode-3.4.4/config.log;build/x86/qrencode-3.4.4/config.log
pciutils,0,0,0,0,53,53,build/ppc64/log/pciutils.log;build/x86/log/pciutils.log
tpm2-tss,0,0,0,0,15,15,build/x86/tpm2-tss-3.2.2/config.log;build/x86/log/tpm2-tss.log
linux,1,0,12,0,0,13,build/ppc64/log/linux.log
npth.configure,6,0,0,0,6,12,build/ppc64/log/npth.configure.log;build/x86/log/npth.configure.log
lvm2.2.03.23,0,0,4,0,8,12,build/ppc64/lvm2.2.03.23/config.log;build/x86/lvm2.2.03.23/config.log
dropbear.configure,2,2,0,0,8,12,build/ppc64/log/dropbear.configure.log;build/x86/log/dropbear.configure.log
tpm2-tss.configure,2,2,0,0,5,9,build/x86/log/tpm2-tss.configure.log
pciutils.configure,2,2,0,0,4,8,build/ppc64/log/pciutils.configure.log;build/x86/log/pciutils.configure.log
libaio.configure,2,2,0,0,4,8,build/ppc64/log/libaio.configure.log;build/x86/log/libaio.configure.log
slang.configure,0,0,3,0,4,7,build/ppc64/log/slang.configure.log
util-linux.configure,0,0,0,0,4,4,build/ppc64/log/util-linux.configure.log;build/x86/log/util-linux.configure.log
tpmtotp.configure,2,0,0,0,2,4,build/ppc64/log/tpmtotp.configure.log;build/x86/log/tpmtotp.configure.log
qrencode.configure,0,0,0,0,4,4,build/ppc64/log/qrencode.configure.log;build/x86/log/qrencode.configure.log
popt.configure,2,0,0,0,2,4,build/ppc64/log/popt.configure.log;build/x86/log/popt.configure.log
lvm2.configure,0,0,0,0,4,4,build/ppc64/log/lvm2.configure.log;build/x86/log/lvm2.configure.log
libgcrypt.configure,2,0,0,0,2,4,build/ppc64/log/libgcrypt.configure.log;build/x86/log/libgcrypt.configure.log
libaio,0,0,0,0,4,4,build/ppc64/log/libaio.log;build/x86/log/libaio.log
cryptsetup2.configure,0,0,0,2,2,4,build/ppc64/log/cryptsetup2.configure.log;build/x86/log/cryptsetup2.configure.log
tpm2-tools,0,0,3,0,0,3,build/x86/tpm2-tools-5.6/config.log
kbd.configure,0,0,1,0,2,3,build/x86/log/kbd.configure.log
zstd,0,0,0,0,2,2,build/ppc64/log/zstd.log;build/x86/log/zstd.log
zlib.configure,0,0,0,0,2,2,build/ppc64/log/zlib.configure.log;build/x86/log/zlib.configure.log
tpmtotp,0,0,0,0,2,2,build/ppc64/log/tpmtotp.log;build/x86/log/tpmtotp.log
pinentry.configure,0,0,0,0,2,2,build/ppc64/log/pinentry.configure.log;build/x86/log/pinentry.configure.log
mbedtls,0,0,0,0,2,2,build/ppc64/log/mbedtls.log;build/x86/log/mbedtls.log
libusb.configure,0,0,0,0,2,2,build/ppc64/log/libusb.configure.log;build/x86/log/libusb.configure.log
libksba.configure,0,0,0,0,2,2,build/ppc64/log/libksba.configure.log;build/x86/log/libksba.configure.log
libgpg-error.configure,0,0,0,0,2,2,build/ppc64/log/libgpg-error.configure.log;build/x86/log/libgpg-error.configure.log
libassuan.configure,0,0,0,0,2,2,build/ppc64/log/libassuan.configure.log;build/x86/log/libassuan.configure.log
kexec-tools.configure,0,0,0,0,2,2,build/ppc64/log/kexec-tools.configure.log;build/x86/log/kexec-tools.configure.log
gpg2.configure,0,0,0,0,2,2,build/ppc64/log/gpg2.configure.log;build/x86/log/gpg2.configure.log
flashtools,0,0,0,0,2,2,build/ppc64/log/flashtools.log;build/x86/log/flashtools.log
flashprog,0,0,0,0,2,2,build/ppc64/log/flashprog.log;build/x86/log/flashprog.log
exfatprogs.configure,0,0,0,0,2,2,build/ppc64/log/exfatprogs.configure.log;build/x86/log/exfatprogs.configure.log
e2fsprogs.configure,0,0,0,0,2,2,build/ppc64/log/e2fsprogs.configure.log;build/x86/log/e2fsprogs.configure.log
busybox,0,0,0,0,2,2,build/ppc64/log/busybox.log
bash.configure,0,0,0,0,2,2,build/ppc64/log/bash.configure.log;build/x86/log/bash.configure.log
tpm2-tools.configure,0,0,1,0,0,1,build/x86/log/tpm2-tools.configure.log
powerpc-utils.configure,0,0,0,0,1,1,build/ppc64/log/powerpc-utils.configure.log
pixman.configure,0,0,0,0,1,1,build/x86/log/pixman.configure.log
openssl.configure,0,0,0,0,1,1,build/x86/log/openssl.configure.log
newt.configure,0,0,0,0,1,1,build/ppc64/log/newt.configure.log
ncurses.configure,0,0,0,0,1,1,build/ppc64/log/ncurses.configure.log
libpng.configure,0,0,0,0,1,1,build/x86/log/libpng.configure.log
io386,0,0,0,0,1,1,build/x86/log/io386.log
fbwhiptail,0,0,0,0,1,1,build/x86/log/fbwhiptail.log
cairo.configure,0,0,0,0,1,1,build/x86/log/cairo.configure.log
