module,O,Os,O2,O3,Oz,total,examples
openssl,0,0,0,0,1481,1481,build/x86/log/openssl.log
libgcrypt,0,0,0,0,738,738,build/ppc64/log/libgcrypt.log;build/x86/log/libgcrypt.log
gpg2,0,0,0,0,668,668,build/ppc64/log/gpg2.log;build/x86/log/gpg2.log
tpmtotp,0,0,0,0,286,286,build/ppc64/log/tpmtotp.log;build/x86/log/tpmtotp.log
libksba,0,0,0,0,124,124,build/ppc64/log/libksba.log;build/x86/log/libksba.log
libassuan,0,0,0,0,116,116,build/ppc64/log/libassuan.log;build/x86/log/libassuan.log
kexec-tools,0,0,0,0,107,107,build/ppc64/log/kexec-tools.log;build/x86/log/kexec-tools.log
musl-cross-make,0,0,100,0,0,100,build/ppc64/log/musl-cross-make.log;build/x86/log/musl-cross-make.log
libgpg-error,0,0,0,0,90,90,build/ppc64/log/libgpg-error.log;build/x86/log/libgpg-error.log
libpng,0,0,0,0,88,88,build/x86/log/libpng.log
slang,0,0,0,0,82,82,build/ppc64/log/slang.log
zlib,0,0,0,0,62,62,build/ppc64/log/zlib.log;build/x86/log/zlib.log
pciutils,0,0,0,0,49,49,build/ppc64/log/pciutils.log;build/x86/log/pciutils.log
npth,0,0,0,0,30,30,build/ppc64/log/npth.log;build/x86/log/npth.log
newt,0,0,0,0,17,17,build/ppc64/log/newt.log
tpm2-tss,0,0,0,0,12,12,build/x86/log/tpm2-tss.log
pinentry,0,0,0,0,8,8,build/ppc64/log/pinentry.log;build/x86/log/pinentry.log
bash,0,0,0,0,8,8,build/ppc64/log/bash.log;build/x86/log/bash.log
libaio,0,0,0,0,4,4,build/ppc64/log/libaio.log;build/x86/log/libaio.log
coreboot-talos_2,0,0,3,0,0,3,build/ppc64/log/coreboot-talos_2.log
zstd,0,0,0,0,2,2,build/ppc64/log/zstd.log;build/x86/log/zstd.log
mbedtls,0,0,0,0,2,2,build/ppc64/log/mbedtls.log;build/x86/log/mbedtls.log
flashtools,0,0,0,0,2,2,build/ppc64/log/flashtools.log;build/x86/log/flashtools.log
flashprog,0,0,0,0,2,2,build/ppc64/log/flashprog.log;build/x86/log/flashprog.log
dropbear,0,0,0,0,2,2,build/ppc64/log/dropbear.log;build/x86/log/dropbear.log
io386,0,0,0,0,1,1,build/x86/log/io386.log
fbwhiptail,0,0,0,0,1,1,build/x86/log/fbwhiptail.log
cairo,0,0,0,0,1,1,build/x86/log/cairo.log
