module,O,Os,O2,O3,Oz,total,examples
openssl,0,0,0,0,1481,1481,build/x86/log/openssl.log
libgcrypt,0,0,0,0,370,370,build/x86/log/libgcrypt.log
gpg2,0,0,0,0,334,334,build/x86/log/gpg2.log
tpmtotp,0,0,0,0,143,143,build/x86/log/tpmtotp.log
libpng,0,0,0,0,88,88,build/x86/log/libpng.log
libksba,0,0,0,0,62,62,build/x86/log/libksba.log
libassuan,0,0,0,0,58,58,build/x86/log/libassuan.log
kexec-tools,0,0,0,0,55,55,build/x86/log/kexec-tools.log
musl-cross-make,0,0,50,0,0,50,build/x86/log/musl-cross-make.log
libgpg-error,0,0,0,0,45,45,build/x86/log/libgpg-error.log
zlib,0,0,0,0,31,31,build/x86/log/zlib.log
pciutils,0,0,0,0,25,25,build/x86/log/pciutils.log
npth,0,0,0,0,15,15,build/x86/log/npth.log
tpm2-tss,0,0,0,0,12,12,build/x86/log/tpm2-tss.log
pinentry,0,0,0,0,4,4,build/x86/log/pinentry.log
bash,0,0,0,0,4,4,build/x86/log/bash.log
libaio,0,0,0,0,2,2,build/x86/log/libaio.log
zstd,0,0,0,0,1,1,build/x86/log/zstd.log
mbedtls,0,0,0,0,1,1,build/x86/log/mbedtls.log
io386,0,0,0,0,1,1,build/x86/log/io386.log
flashtools,0,0,0,0,1,1,build/x86/log/flashtools.log
flashprog,0,0,0,0,1,1,build/x86/log/flashprog.log
fbwhiptail,0,0,0,0,1,1,build/x86/log/fbwhiptail.log
dropbear,0,0,0,0,1,1,build/x86/log/dropbear.log
cairo,0,0,0,0,1,1,build/x86/log/cairo.log
